"title","icon","rating","tagline","titles"
"Prove It Post Purchase Surveys","https://apps.shopifycdn.com/listing_images/af7aa25ee16b8e03f8993cbbb4460b51/icon/12641e3694526ec02f7c8a134fcbe64d.png?height=84&width=84",5,"Free post-purchase survey for better marketing ROI visibility","Prove It Post Purchase Surveys	(5)"
"iCart Cart Drawer Cart Upsell","https://apps.shopifycdn.com/listing_images/9ab80f357263dfca71a6e19296300595/icon/6e008a3987a76b89f4373035097c48ac.png?height=84&width=84",5,"Cart Upsell, Cart Countdown ,Sticky add to Cart, Cart Drawer","iCart Cart Drawer Cart Upsell	(5)"
"CourierGateway","https://apps.shopifycdn.com/listing_images/c8ccf9914fcca913c794f3ad5b7d5e53/icon/984bb82d2126a5cc075d35a11977c957.png?height=84&width=84",0,"Save Money - Easy/Multi-Courier - Set up in minutes!","CourierGateway	(0)"
"CorreosChile","https://apps.shopifycdn.com/listing_images/73da9ec0d9fecf7373edb7ecdfaec7d9/icon/b937c1d8f72754caa8cc7de4c02a13f0.jpg?height=84&quality=90&width=84",0,"CorreosChile plugin api integracion","CorreosChile	(0)"
"Zaius Activated CDP & Insights","https://apps.shopifycdn.com/listing_images/89dea92c0a16f8686f3850d5ade00192/icon/cc583d329861e4a18c6577777c4a4dc0.png?height=84&width=84",0,"Aggregate, learn from, & act on all of your customer data","Zaius Activated CDP & Insights	(0)"
"Fnac","https://apps.shopifycdn.com/listing_images/86587a0f7bb18479e6358f1638671d43/icon/a71ea633960c7a683833f0084bbd5f72.png?height=84&width=84",0,"Take advantage of Fnac reputation to distribute your catalog.","Fnac	(0)"
"Rapidus Local Delivery","https://apps.shopifycdn.com/listing_images/b79783d68f4d6366695d9a83580ef528/icon/9805dde3975ebcbbceec7b1f8f9e7674.png?height=84&width=84",0,"1-hour & same-day quotes and delivery with real-time tracking","Rapidus Local Delivery	(0)"
"Chatdesk ‑ Email & FB Support","https://apps.shopifycdn.com/listing_images/e1bad89469e9668c224aef9c8b7972c4/icon/373dec264cf4113aaf73696aacde2dc8.jpg?height=84&quality=90&width=84",5,"Increase sales on Facebook, Instagram, Chat & Email Support","Chatdesk ‑ Email & FB Support	(5)"
"Sezzle Install (Unofficial)","https://apps.shopifycdn.com/listing_images/74b0a43b248df288eb32b75edcbc3757/icon/e516e0dd5a55159c14170940549fbe9b.png?height=84&width=84",2.6,"Shop Now. Enjoy Now. Pay Later. - Product Page Info Install","Sezzle Install (Unofficial)	(2.6)"
"Cogitari Swatch","https://apps.shopifycdn.com/listing_images/e788c8501d8a2e65f3d1fd53797d61c7/icon/237b409e581257735d86a7e011c845e5.png?height=84&width=84",5,"Display swatches on products. Drive attention. Increase sale!","Cogitari Swatch	(5)"
"Google SEO Sitemap","https://apps.shopifycdn.com/listing_images/3f5ba4d1ad258966090a4cdab5f86858/icon/4876eac1e5fd514e4ce2385fd95a113e.png?height=84&width=84",0,"Generate and submit a sitemap to Google.","Google SEO Sitemap	(0)"
"Awesome Quantity","https://apps.shopifycdn.com/listing_images/494f87760e4596a16da4618e0a55cb28/icon/e78347769cb6954d664774d75b32cb6f.jpg?height=84&quality=90&width=84",5,"Quantity Discount,Volume Discount,Tiered Pricing,Bulk Discount","Awesome Quantity	(5)"
"Gusto ‑ Payroll & HR","https://apps.shopifycdn.com/listing_images/1295e4c7ed23f04e405d06a7e8602ede/icon/b62cf6d7449dc5aead6fc68a52b702d8.png?height=84&width=84",5,"Payroll, benefits, and HR built for small business","Gusto ‑ Payroll & HR	(5)"
"X‑Sell","https://apps.shopifycdn.com/listing_images/7f5f9ad94b9ff11031d51a78fc789801/icon/19ca6514d5ec9332c48366e2bf183cae.png?height=84&width=84",0,"Up-selling and cross-selling made easy","X‑Sell	(0)"
"Blog Articles in Collections","https://apps.shopifycdn.com/listing_images/bdcb366facc4290a40216678de54c90b/icon/2a6d6515cd9f648e8a82f28e8de04731.png?height=84&width=84",5,"Highlight your best blog articles inside your shop collections","Blog Articles in Collections	(5)"
"Inventory Flow","https://apps.shopifycdn.com/listing_images/8c11ecd7e89db2cb4784b0312037d45a/icon/7e3e2149722e7728845b40f9242ef835.jpg?height=84&quality=90&width=84",5,"Sync your inventory automatically from any source","Inventory Flow	(5)"
"Product Labels Pro","https://apps.shopifycdn.com/listing_images/8ff87511bcdffd3dfc280f3600a78695/icon/8a196102eaf0b6a67773db748033d4df.jpg?height=84&quality=90&width=84",5,"CATCHY New, Best, Hot product labels and badges sell QUICKLY!","Product Labels Pro	(5)"
"Enzuzo: Data Privacy & Trust","https://apps.shopifycdn.com/listing_images/0a52ba00d264c50bc020b12ff9962254/icon/51531911ce257e8dd71be5e02cc9f8a2.png?height=84&width=84",5,"Boost Trust | Automated Privacy Policy | GDPR & CCPA Requests","Enzuzo: Data Privacy & Trust	(5)"
"Pro Bulk Price Editor","https://apps.shopifycdn.com/listing_images/46a519ba0c20e469664b73e6a71b8b63/icon/b7e057f3a35f59602cf238f12ed2c9c6.png?height=84&width=84",4.7,"Bulk edit prices, schedule bulk discounts & rollback anytime.","Pro Bulk Price Editor	(4.7)"
"Provide Support Live Chat","https://apps.shopifycdn.com/listing_images/cd80b6791c6aa684ea5938ada2bd4f9e/icon/d371b4d333c89f679ae6dc0daf069f44.png?height=84&width=84",0,"Empower your customer service and boost sales with live chat","Provide Support Live Chat	(0)"
"YDM Integration","https://apps.shopifycdn.com/listing_images/ed30638fd18f52d6592a5254e537b379/icon/47ba7217d96f937434a4f19a55748195.png?height=84&width=84",5,"Creates Shipments and labels for YDM shipments in Israel","YDM Integration	(5)"
"Inventory History Guru","https://apps.shopifycdn.com/listing_images/3727e564a18d7e01d61595f2f9aa2cff/icon/2eabc63de07d0222f2517c412d29e266.png?height=84&width=84",5,"Easy to Use Inventory History Charts & Reports","Inventory History Guru	(5)"
"Smarketly Page Builder Editor","https://apps.shopifycdn.com/listing_images/fc97048a562c9737f3b4b122bd889d2e/icon/3c95f528a90d160701637b2c851992d9.png?height=84&width=84",4.3,"Build landing & product pages, add sliders, sections, FAQs","Smarketly Page Builder Editor	(4.3)"
"Cartly Analytics","https://apps.shopifycdn.com/listing_images/302366f25230a82db9c601e84f168279/icon/a59fcb6cab5dd5119bccbc532246a1d8.png?height=84&width=84",5,"Discover key visitor insights and what they add to cart","Cartly Analytics	(5)"
"Sosna Integration","https://apps.shopifycdn.com/listing_images/bac24198f6039505e4a0128a9c5afdc5/icon/813282058651bd3ea3d90d98b6bd153f.png?height=84&width=84",5,"Creates Shipments and labels for Sosna on line shipments","Sosna Integration	(5)"
"Jasper PIM","https://apps.shopifycdn.com/listing_images/1b191927b1f862d08496b3060145371d/icon/705b93fbef1db61c081ba18f9a06d7b8.png?height=84&width=84",0,"Advanced product information management tool","Jasper PIM	(0)"
"ProSEOIndexer","https://apps.shopifycdn.com/listing_images/8ffa4ddcb00dbd14025bfb5fbd9797e6/icon/a00a86428c7d3ec30b6a212569f369b1.png?height=84&width=84",5,"Instant Link Indexing. Fast Crawl. Boost Google Rankings.","ProSEOIndexer	(5)"
"Compartilhar no WhatsApp","https://apps.shopifycdn.com/listing_images/505abe7309cb3aa16bdb585abe34efe6/icon/96666fb1acfb568da38a49db57a4ccd3.png?height=84&width=84",0,"Transforme clientes em embaixadores da sua marca.","Compartilhar no WhatsApp	(0)"
"Live Shopping","https://apps.shopifycdn.com/listing_images/882775bc19f6d1df50601342f853a107/icon/11d48b876975612e01608bacaf2fdfaa.jpg?height=84&quality=90&width=84",4.8,"Streamline sales funnel with live video","Live Shopping	(4.8)"
"Beacons ‑ Social Selling","https://apps.shopifycdn.com/listing_images/7c63085179c692bd3c7525584c907f72/icon/496d52b1d20f6ca5f84f253e807b6120.png?height=84&width=84",5,"Affiliate marketing and Instagram influencer marketing","Beacons ‑ Social Selling	(5)"
"Smart Taggers","https://apps.shopifycdn.com/listing_images/4c67c576d7d60f7053ea3f26a5224a27/icon/017eb3ae6c469fedac1717fa3a4f9762.png?height=84&width=84",0,"Auto tag orders, customer with powerful rules","Smart Taggers	(0)"
"ZipLinks ‑ Preloaded Carts","https://apps.shopifycdn.com/listing_images/999b58473cfe7c54b8602d94dd797dc8/icon/4bd19058a5599c0136879e804f79172d.png?height=84&width=84",5,"Easily build preloaded links to cart and checkout pages","ZipLinks ‑ Preloaded Carts	(5)"
"Bargainer","https://apps.shopifycdn.com/listing_images/b745d0e5a64ce9fb4f59bc7151b9e6d4/icon/415b178ae8ed587cba26854be2217011.png?height=84&width=84",0,"Buy in a Flash","Bargainer	(0)"
"Everhort","https://apps.shopifycdn.com/listing_images/cca3927a1ba16d3e7f3b69a3a3289bdc/icon/49f75599e5fd4782a16c26ce3015c691.png?height=84&width=84",5,"Cohort analytics tools for repeat purchase velocity and LTV","Everhort	(5)"
"reCAPTCHA spambuster","https://apps.shopifycdn.com/listing_images/465a31b118d1bc3d462b08cffe33cbf5/icon/e76c649e4714ecd45392a1f5acc1a961.png?height=84&width=84",4,"Get reCAPTCHA v3 on comments and contact forms","reCAPTCHA spambuster	(4)"
"Easy Automation","https://apps.shopifycdn.com/listing_images/6d2dcc79f602e372b88da99e9e694c83/icon/ff1c7488f03b7220c4e3d30842b122e7.png?height=84&width=84",0,"Apply actions to orders, products and customers automatically!","Easy Automation	(0)"
"FineCom Logistics","https://apps.shopifycdn.com/listing_images/ed5ba8b90630cf97c0e8deb7e46ba967/icon/82389ef6bbb400e9597abc5df1440317.png?height=84&width=84",0,"Interface integration for FineCom","FineCom Logistics	(0)"
"Mercantile","https://apps.shopifycdn.com/listing_images/59b46001c025187d62dba2e77e42b8fc/icon/20ae14494b10d85e437c4580a6c79f1b.png?height=84&width=84",4,"Bringing order to your orders.","Mercantile	(4)"
"DataOn Pet","https://apps.shopifycdn.com/listing_images/e834fa2f7b69a96b38cb62b934b5ee32/icon/bfdf97794100d7200857391f1207c8d7.png?height=84&width=84",0,"PetShop, Veterinária, Clínica","DataOn Pet	(0)"
"Show Bird ‑ AliExpress Reviews","https://apps.shopifycdn.com/listing_images/f533e0d9819c56e6f531e24ff572488d/icon/c2f0acdccaab55c6f3dada85218d7824.png?height=84&width=84",5,"Convert AliExpress reviews into stunning showcase videos","Show Bird ‑ AliExpress Reviews	(5)"
"AgeChecked Age Verification","https://apps.shopifycdn.com/listing_images/417ab82a2fb7bb1adef081cae033c551/icon/522b7acce9afa4be673c32912c86eddb.png?height=84&width=84",0,"Simple, secure & compliant age verification","AgeChecked Age Verification	(0)"
"Foodee","https://apps.shopifycdn.com/listing_images/9e43ddc5033fcbc30fc8f6d530b35090/icon/d2187fa80978b5d9d620e390f26bc41d.png?height=84&width=84",4.4,"An order dashboard for restaurants","Foodee	(4.4)"
"SEO Expert Danny","https://apps.shopifycdn.com/listing_images/e34ca0c80214b05e5db52133f7f8494b/icon/f25da09668f97b8cb18c683f062fd7e5.png?height=84&width=84",0,"Analyze and fix your SEO issues","SEO Expert Danny	(0)"
"Lookup ‑ Local SEO for Free","https://apps.shopifycdn.com/listing_images/fdd2174e838c81b4ebfdb82e325f668e/icon/cf6679cebed9bc977041fa867c6cd100.png?height=84&width=84",0,"Help local shoppers find you easily & get there without hassle","Lookup ‑ Local SEO for Free	(0)"
"Purple Referrals","https://apps.shopifycdn.com/listing_images/b80d07a51acb8f98063030e271987e85/icon/2393bc806e7661f50b4fee0d67e07ba9.png?height=84&width=84",5,"Grow organic sales with a fully customisable referral campaign","Purple Referrals	(5)"
"ShopHire Careers Page Builder","https://apps.shopifycdn.com/listing_images/6f8c56b82e50e01d48b678028679af06/icon/3217562080a7b52cd34370ac9f20c8e2.png?height=84&width=84",5,"Create a careers page, post jobs and collect applications","ShopHire Careers Page Builder	(5)"
"Mucho ‑ Reputation SEO Booster","https://apps.shopifycdn.com/listing_images/4a9b0757877f942af79386e32eec9764/icon/11f917aa533fcfe597468621c2088dc8.png?height=84&width=84",5,"Collect Google, Trustpilot and Facebook Reviews. Rank Higher.","Mucho ‑ Reputation SEO Booster	(5)"
"Scarcity: Low In Stock Alert","https://apps.shopifycdn.com/listing_images/cbe5052919914246e7fac2f2935f6494/icon/048548762a45860b23fd9b5758bbfc2e.png?height=84&width=84",5,"Create urgency by showing a Limited Quantity Remaining message","Scarcity: Low In Stock Alert	(5)"
"InstaSheets","https://apps.shopifycdn.com/listing_images/7b53c91b8da3ab9e3cd0fbc14b6ba062/icon/014dc195fc27c6b9e00b2cfb3113b103.png?height=84&width=84",5,"Custom spreadsheets for your business, updated in real-time","InstaSheets	(5)"
"Nationex","https://apps.shopifycdn.com/listing_images/23a9d5b219328c51eb4e4627525275d9/icon/1178f0b054b939cb2d6bdae872b55a17.png?height=84&width=84",0,"Efficiency and simplicity","Nationex	(0)"
"1Courier Shipping","https://apps.shopifycdn.com/listing_images/a8135b96a7752f05c4755a46be2537d8/icon/2442f61aef85f90b94e108e6da8e097f.png?height=84&width=84",0,"Affordable Same Day & Next Day Shipping in Greater Toronto","1Courier Shipping	(0)"
"prodesc","https://apps.shopifycdn.com/listing_images/a223d3bf01a9e74a4affdaef36976c1c/icon/11c3b104416e1fdcd28ddf247d22b950.png?height=84&width=84",2.3,"Unique Product description that helps you rank and sell","prodesc	(2.3)"
"Correios ‑ Cotação PAC/SEDEX","https://apps.shopifycdn.com/listing_images/3c310093e62eb029122fcdf3b9792814/icon/d4f660ffbeac192c660fb390504d83c1.png?height=84&width=84",2,"Shipping costs and times from Correios","Correios ‑ Cotação PAC/SEDEX	(2)"
"Hivefiliate","https://apps.shopifycdn.com/listing_images/47aa78b313a4883b1bc99086b67a0f7c/icon/200ce39f4cd7f991230706e8569be670.jpg?height=84&quality=90&width=84",1,"Everything You Need To Manage Your Affiliate Marketing","Hivefiliate	(1)"
"Spreadsheet Table Products","https://apps.shopifycdn.com/listing_images/4b6fb9c01c9ae4cd382574e3f24b6bc8/icon/51d29a21c09d46a4213217cb6c52876f.png?height=84&width=84",0,"View and Edit products as Live Spreadsheet Table","Spreadsheet Table Products	(0)"
"Connect to Edara","https://apps.shopifycdn.com/listing_images/cf139f8bb3184f91ac45430d3532a6d2/icon/44f268daf23a1fc389bf511d63a96d7a.png?height=84&width=84",0,"Sync orders, inventory and get accounting done simultaneously","Connect to Edara	(0)"
"Tot up","https://apps.shopifycdn.com/listing_images/0259af6f31c5e98bf38f22c455e4fe2c/icon/4215c85777f824abaec3b8b02ea4c6b8.png?height=84&width=84",5,"Easy stock count with real-time numbers & barcode scan/updates","Tot up	(5)"
"Reorderify","https://apps.shopifycdn.com/listing_images/ab4f1b6061474a63e7b414cab2bf079d/icon/f41e6f7c4e96ffdba9d10554e4b75a5d.png?height=84&width=84",5,"One-click reorder any previous order","Reorderify	(5)"
"TextRight SMS Marketing","https://apps.shopifycdn.com/listing_images/dc8ccfd6a0680a72d62235ab66faec95/icon/8770728553421267971b0cfd597aeb91.png?height=84&width=84",5,"Get 98% open rate | No spam box | Text With Your Customers","TextRight SMS Marketing	(5)"
"Earth Rewards: Loyalty Points","https://apps.shopifycdn.com/listing_images/b3e8914907915d14918b60f1234eb7a3/icon/066424663e7f8f8bb319d7aef5017680.png?height=84&width=84",0,"Boost sales, reward customers, help protect the environment","Earth Rewards: Loyalty Points	(0)"
"PointsKit: Rewards & Referrals","https://apps.shopifycdn.com/listing_images/695d43afe522e93511a74ac33f8d7b7f/icon/cd9cedc1f5b253b01be9eda0d0457ded.png?height=84&width=84",4.8,"Rewards and Referrals. Refer friends - Earn Points","PointsKit: Rewards & Referrals	(4.8)"
"Leino ‑ Cargonizer integration","https://apps.shopifycdn.com/listing_images/9bd0ffa00df63aad18592eb42f575e8a/icon/4df0702855ed7a9e6935b729e485e1b1.png?height=84&width=84",0,"Integrate Bring with Logistra","Leino ‑ Cargonizer integration	(0)"
"Bulk Image Creative","https://apps.shopifycdn.com/listing_images/6d1b22d8cb6531332d4f611d0b16b103/icon/f89800c3d13b9246f5967848a53f545b.png?height=84&width=84",5,"Image crop, Smart collage, labeling, generate Ad creatives","Bulk Image Creative	(5)"
"Hero Box ‑ Saves The Day","https://apps.shopifycdn.com/listing_images/18826fe5f7308066860d8e26dea6d35a/icon/80fb3f8c58e00cf5bad0afa38df0a5e9.jpg?height=84&quality=90&width=84",5,"""Mystery Box"" Game & Email Widget With Pay To Play + More","Hero Box ‑ Saves The Day	(5)"
"SMS, WhatsApp, Email Marketing","https://apps.shopifycdn.com/listing_images/9da5836009fb8f2d549f90fd3aa0d2b6/icon/782fc2971f8dfabee3192938da114df9.png?height=84&width=84",5,"SMS, WhatsApp, Email Order recovery and Marketing Automations","SMS, WhatsApp, Email Marketing	(5)"
"SEO, Schema, JSON‑LD ","https://apps.shopifycdn.com/listing_images/c2a361e66c697e383e112ac2069b0637/icon/bc63f4afa6780d10ba4d7c4411af02e2.png?height=84&width=84",4.9,"Rich Snippet, Increases SEO rankings with Review, Price","SEO, Schema, JSON‑LD 	(4.9)"
"Fulfilly ‑ Bulk fulfill App","https://apps.shopifycdn.com/listing_images/c2458355ec1c704d85a494fc247b0e4b/icon/9b609b001e4cd62b4732c37b70d0e105.png?height=84&width=84",3.8,"Mass/bulk fulfill orders via Excel/csv","Fulfilly ‑ Bulk fulfill App	(3.8)"
"Shopify Email","https://apps.shopifycdn.com/listing_images/14711ad7477a3d0211488990623ad24c/icon/cf78d5bc24f87c877738d381c8f1ba73.png?height=84&width=84",3,"Email marketing made for commerce","Shopify Email	(3)"
"SEOKart","https://apps.shopifycdn.com/listing_images/cd4f3f3e1f66209976ecd09bbdecea3c/icon/a2bc61dd2fe3989e2f08be3c6ee172d0.png?height=84&width=84",5,"Keywords Rank Tracking, Reporting and Awesome Analytics","SEOKart	(5)"
"Simply2be","https://apps.shopifycdn.com/listing_images/16708973968d5363e9287a6c6ff463f3/icon/eaa0f471c0d2e8cfb9fb31849fef31f3.png?height=84&width=84",0,"The all-in-one solution for selling on-line","Simply2be	(0)"
"Tool Master For PayPal","https://apps.shopifycdn.com/listing_images/ef1ff80f4e74f7d7c081fc08df66fb6b/icon/767c4ed8a50fffb970b87f81069ef239.png?height=84&width=84",4,"Build a safer and wider connection of your shop and PayPal.","Tool Master For PayPal	(4)"
"Jika Product Price A/B Testing","https://apps.shopifycdn.com/listing_images/65c50da716c2f6c884951c8562380ea9/icon/3646eace39af5e89dfeeafde46068741.png?height=84&width=84",5,"A/B Test Your Product Pricing. Make More Money.","Jika Product Price A/B Testing	(5)"
"Appjetty Delivery Date Manager","https://apps.shopifycdn.com/listing_images/302402a816be1085ec5427ae226dd0d0/icon/dec3cb785d2de8cda47596077225cdae.jpg?height=84&quality=90&width=84",0,"A delivery date app to streamline your delivery operations.","Appjetty Delivery Date Manager	(0)"
"Cloudprinter","https://apps.shopifycdn.com/listing_images/2c7d33c59d6943080dbe6c80d9909a22/icon/b7d87532cb560b5ba994b9260d520db9.jpg?height=84&quality=90&width=84",0,"The Global Print Cloud & API","Cloudprinter	(0)"
"Order Updates with Alexa","https://apps.shopifycdn.com/listing_images/abe092e16fff0ab612536def5c467875/icon/978b8b34ee32b4f3f82731a5794cce50.png?height=84&width=84",0,"Customer order & delivery updates to an Alexa enabled device","Order Updates with Alexa	(0)"
"ActiveCampaign by Combidesk","https://apps.shopifycdn.com/listing_images/97952ff4082c91278320afaf45077b36/icon/dc2964e5e3657b1c5fc4ea361db48264.png?height=84&width=84",0,"Integrated email marketing and marketing automation","ActiveCampaign by Combidesk	(0)"
"Ha‑Smart","https://apps.shopifycdn.com/listing_images/186e51f81d0733fac6df6152be6908d9/icon/4045876649132a9506fb59f9b8713854.png?height=84&width=84",0,"Better Shipping, Better Sourcing","Ha‑Smart	(0)"
"CartUp ‑  Upsell Automation ","https://apps.shopifycdn.com/listing_images/9af9105ff27852f485c2916e1017684a/icon/763802aaf38006e6c0889b3d382f7834.jpg?height=84&quality=90&width=84",5,"Boost conversions and increase average order value using AI","CartUp ‑  Upsell Automation 	(5)"
"Swivt Inventory","https://apps.shopifycdn.com/listing_images/fb4713c24300dd5e7a82cdf730fe25ff/icon/11478af102038a08b89c783f90981f2c.png?height=84&width=84",0,"Inventory and Warehouse Management, redefined.","Swivt Inventory	(0)"
"Mockupify","https://apps.shopifycdn.com/listing_images/85107355d48285ae19f32bd5b743d8b0/icon/bccdd6b13ee8aebfa7f770db691405c8.png?height=84&width=84",5,"Automate your print-on-demand mockup creation","Mockupify	(5)"
"TikTok Shopping Gallery","https://apps.shopifycdn.com/listing_images/d8c5e36a30ff0492a361e8e5a87b10f3/icon/bf3b7252e6d51c615173e8300487d75c.png?height=84&width=84",0,"Promote products with a curated TikTok video gallery","TikTok Shopping Gallery	(0)"
"Google Tag Manager Installer","https://apps.shopifycdn.com/listing_images/eb0438731521647ecf840b2b33d81183/icon/92d2b89f626eea956368e3ccbed093fb.png?height=84&width=84",0,"The easiest GTM installation & tag management for your site","Google Tag Manager Installer	(0)"
"Etsy Connector","https://apps.shopifycdn.com/listing_images/b88a60e750a2e76461ad9bd90f980c13/icon/2717eed3649d2d1423d0618bb85cc272.png?height=84&width=84",0,"Sync with Etsy made simple","Etsy Connector	(0)"
"Happy Shares","https://apps.shopifycdn.com/listing_images/78b8e7c6d4a216a33f248b1f9136c229/icon/919208e67c9d83566b61d0cf8a3e264a.png?height=84&width=84",5,"Share for Discount - Organic Social Campaign Builder","Happy Shares	(5)"
"Second Image Hover Animations","https://apps.shopifycdn.com/listing_images/8ae61a40e47578a9a8979b898d777c5e/icon/d935a1b4d3a4a276b8e25175899b9ccc.jpg?height=84&quality=90&width=84",5,"Second Product Image with hover effect animations","Second Image Hover Animations	(5)"
"ProductReview.com.au Connect","https://apps.shopifycdn.com/listing_images/1cbff89d92a55b42ba68b1b609bdb5d2/icon/cedb56e00797e0dbd473a3cb1ace13e0.png?height=84&width=84",0,"Review Invitation made simple","ProductReview.com.au Connect	(0)"
"Zip code check & waiting list","https://apps.shopifycdn.com/listing_images/83fb20b744d0b7ec2f334a98c875e1a5/icon/98356bb48fbe97361f10ce5592c4b0f2.png?height=84&width=84",5,"Check customer zip code & make sure they live in delivery zone","Zip code check & waiting list	(5)"
"AReceivables","https://apps.shopifycdn.com/listing_images/1e52fcb4f4966afb85ad9f752c808276/icon/7507f2f0829cd26cd7cd97971a7f6084.png?height=84&width=84",0,"See customer's accounts receivable, invoices & past due orders","AReceivables	(0)"
"OEasy AliExpress Import&Order","https://apps.shopifycdn.com/listing_images/46b32883a8123369b686396d59df2788/icon/be9a1f0450a5d19d0f16b072d7b0bfea.png?height=84&width=84",5,"Find product on Alibaba for Dropshipping,bulk order,Oberlo Pro","OEasy AliExpress Import&Order	(5)"
"Flash Courier DDX","https://apps.shopifycdn.com/listing_images/69fdc9cd8fc59ff64e2440174ad9fcfc/icon/06fc4f909e8921bf9d38f8374ca5849a.png?height=84&width=84",0,"Usado para transporte pela Transportadora Flash Courier DDX","Flash Courier DDX	(0)"
"SimpleCall ‑ A Call Now Button","https://apps.shopifycdn.com/listing_images/25e709a725329a5f5a1c109ef259cce6/icon/e0439b8023d9ea26fa8154a3748e0f10.png?height=84&width=84",5,"Add a sticky click to call button to your store","SimpleCall ‑ A Call Now Button	(5)"
"One Click eCom","https://apps.shopifycdn.com/listing_images/6abd8b648892c1bb63e4fcc8687d07c1/icon/6c15377866ae984b32e979b32e44bf31.png?height=84&width=84",4.5,"Automate your dropshipping business with just a few clicks!","One Click eCom	(4.5)"
"Cheetah integration","https://apps.shopifycdn.com/listing_images/2273c6a50baa9af319014c40674087c2/icon/b75787222f17c3c0d6d333176c6ca2fc.png?height=84&width=84",5,"Creates Shipments and labels for Cheetah shipments in Israel","Cheetah integration	(5)"
"Blog Creator","https://apps.shopifycdn.com/listing_images/161bbe42634cb978171306ac95c83ce5/icon/66ef3fc4cc9814bcf4940325d5193224.png?height=84&width=84",4.3,"Create content that converts with the first CMS for ecommerce.","Blog Creator	(4.3)"
"Genie Sales Booster ‑ 33‑in‑1","https://apps.shopifycdn.com/listing_images/0e5fd4bc276144881736fd0a5a796081/icon/39467c1a562d6d6357b8bf4c38a3aa57.png?height=84&width=84",4.2,"Upsells, Bundles, Volume Discounts, SEO Tools, Page Builder","Genie Sales Booster ‑ 33‑in‑1	(4.2)"
"Pixsona","https://apps.shopifycdn.com/listing_images/c45c16c17444bd1e316b906da17361b7/icon/c8c09f3866ad3b1a7a57074afdd8417f.png?height=84&width=84",0,"Personalization and Print On Demand","Pixsona	(0)"
"Stensiled Wishlist","https://apps.shopifycdn.com/listing_images/1fd6399935047c01fc1c692686d1ef1f/icon/8020da86349c80253c8fab9c24c672ce.png?height=84&width=84",5,"Wishlist : Let Customer Save Their Favourites In The Wishlist","Stensiled Wishlist	(5)"
"Photo Finish","https://apps.shopifycdn.com/listing_images/c904ccd15f0828a4305d256be57aac53/icon/a93f1bf942d8a8d4263c39e5378bae26.png?height=84&width=84",4.9,"Bulk Import Product Photos","Photo Finish	(4.9)"
"Free Shipping Bar (Dynamic)","https://apps.shopifycdn.com/listing_images/a82e8eeb306b0054dd1522fb2dd95887/icon/5a315a7fa383a4eb1715454a590f93f1.png?height=84&width=84",0,"Smart Progress Meter","Free Shipping Bar (Dynamic)	(0)"
"Advanced Metafields","https://apps.shopifycdn.com/listing_images/1f162b71fb633d29dca96943d88fbcd6/icon/9b3d678747b83492d8966aa981b9999d.png?height=84&width=84",0,"Metafields made for users","Advanced Metafields	(0)"
"Stock Countdown Sold Inventory","https://apps.shopifycdn.com/listing_images/06fbf1851f4e16a31b4f81fc5798835c/icon/5e1b325a3815c89b664b7d30ca0c29c8.png?height=84&width=84",5,"Create urgency with sold out inventory & stock countdown.","Stock Countdown Sold Inventory	(5)"
"Notifications By Mokool","https://apps.shopifycdn.com/listing_images/3be764f8e1be89951b041aa37db51a57/icon/aeb68beecd3f0baea935f1f88e87426e.png?height=84&width=84",0,"Free App - Get Premium Popup and Notifications","Notifications By Mokool	(0)"
"Passwordless Biometric Login","https://apps.shopifycdn.com/listing_images/45c0e0157f44669b25461dbab1fe62d8/icon/091c22616f76e56cb48707e9cc6a3a74.png?height=84&width=84",0,"One Click Login using Fingerprint and Facial Recognition","Passwordless Biometric Login	(0)"
"Ficonab Reporting","https://apps.shopifycdn.com/listing_images/60762b08bda61678a0d36aa6991d8945/icon/37fb71b34530dfb9b63fa274bee24eff.jpg?height=84&quality=90&width=84",0,"Quick and easy app reporting {email, slack, etc}","Ficonab Reporting	(0)"
"Polen ‑ Doação e Experiência","https://apps.shopifycdn.com/listing_images/3cbd52a55ee423cc2f648dc41bf57373/icon/9626b49cbac82f1911f3063549ac81e7.png?height=84&width=84",0,"Faça doações para o combate ao COVID-19 através da sua loja","Polen ‑ Doação e Experiência	(0)"
"AltoQ Exchange","https://apps.shopifycdn.com/listing_images/f08efc636687652f65d9ad95eefcd311/icon/87d0f8d4e22694f2dc1a02e5cbe48bc4.png?height=84&width=84",5,"Easy product return, exchange, and store credit","AltoQ Exchange	(5)"
"Instant Buy & Ajax Add to Cart","https://apps.shopifycdn.com/listing_images/1823bc6bcbfb403debf5feb759a8eac8/icon/5fd4715657120ba149af0bd0b18217e3.png?height=84&width=84",5,"Add ATC/Buy Now button to product listing page, Sticky ATC","Instant Buy & Ajax Add to Cart	(5)"
"Recipe Management","https://apps.shopifycdn.com/listing_images/c1ee7f834aeb46751385b41a8f587fb6/icon/ce740d4eea515f0e105523899cdf6bd5.png?height=84&width=84",0,"Recipe Management","Recipe Management	(0)"
"Product FAQs ‑ Advance Option","https://apps.shopifycdn.com/listing_images/a95df617f3977f24f476d9bbeb4f5a44/icon/c69aae85740fe57ee6f5eca1c6bc7599.png?height=84&width=84",5,"Solve Customer's Queries With Product FAQs - Advance Options","Product FAQs ‑ Advance Option	(5)"
